Based only on the name, what kind of object is this? (101955) 1999 RQ36	A: Asteroid
Briefly explain Reynolds number	A: Re is the ratio between inertial forces and viscous forces in a fluid. Re=u*L/v, v=mu/rho. L characteristic linear, mu dynamic viscosity, u velocity, v kinematic viscosity. Low Re: laminar flow, high Re: turbuluent flow.
Briefly explain Right ascension and declination	A: A system of coordinates on the sky centered on the Earth's axis. RA is the equivalent of longitude, dec is equivalent of latitude.
Briefly explain Scintillation	A: Aka twinkling - variations in apparent brightness. Usually caused by the passing of a source's light through a turbulent medium like a star's (ast. scintillation) or Earth's (terrestrial scintilliation) atmosphere. Mostly from atmospheric refraction due to small scale density fluctuations.
Briefly explain Shell burning	A: Material ignites in shell due to degenerate core. Often multiple shells. Deposits on to core increasing its mass and decreasing radius. Often unstable.
Briefly explain Soft and hard binaries	A: Hard binary has a small orbit, soft has a bigger/looser orbit. Heggie-Hills: when interacting with a third body, soft binaries soften, hard binaries harden.
Briefly explain Stellar aberration	A: SR effect with starlight beaming tan(theta) ~ v/c. Can see from Earth's motion rel to sun
Briefly explain Synchrotron radiation	A: Radiation due to the circular acceleration of electrons in a magnetic field. Very common in high energy phenomena like shocks, GRBs, pulsars, jets. Typically this is a spectra of nu^-0.7 for galaxies and optically thin sources. Flattens at lower frequencies from free-free. Results from all the different electron spectra summing together.  https://www.cv.nrao.edu/course/astr534/SynchrotronSpectrum.html and https://science.nrao.edu/science/meetings/2018/postdoc-symposium/presentations/NRAO_postdoc_symp_LoretoBarcos.pdf
Briefly explain Temperature anisotropies	A: T has some directional dependence at ~ 1e-5 in CMB, due to primordial quantum fluctuations stretched by inflation.
Briefly explain Velocity dispersion	A: Randomized motions due to gravitational interactions, eventually from dynamical relaxations.
Briefly explain Virial radius	A: The radius of a gravitationally bound system in which the virial theorem applies (K = -0.5 V on average). Typically use to define the extent of a galaxy/overdensity. Assuming Keplerian orbits, can use GM/R ~ sigma^2_max, the max velocity dispersion. Alternatively, for cosmo: define as the radius for which the average density is 200 x the galaxy. 
Briefly explain Weak and strong lensing	A: Weak = distortion of light from large-scale-structure gradually. Strong = individual cluster / DM halos strongly deflecting photons e.g. AGN
Briefly explain \sigma-M relation	A: Mass-velocity dispersion. Empirical correlation between stellar velocity dispersion of galaxy bulge and mass M of the supermassive black hole. M=sigma^5.1.
Briefly explain distance modulus	A: A way of expressing distances on a logarithmic scale. DM/5 = log_10(d/10 pc). Or d = 10*10^(DM/5). So 1 mag away is 1.5x in distance.
Briefly explain p-mode	A: Pressure-mode oscillations. Radial oscillations or defined as spherical harmonics
Briefly explain r-process	A: rapid neutron-capture process. Responsible for ~half of heavy nuclei greater than Fe. Thought to occur in low-mass supernovae, Type II supernovae, and neutron star mergers. 
Briefly explain the following problems. Are they still problems? How resolved? Age crisis	A: Problem where some objects estimated to be older than big bang from Hubble constant. Solved by more precise H0 (orig ~ 500) and age estimates.
Briefly explain the following problems. Are they still problems? How resolved? Angular momentum problem in star formation	A: How do we lose enough angular momentum in a PPD to form a star? The answer is thought to lie in the MRI. 
Briefly explain the following problems. Are they still problems? How resolved? Core/cusp problem	A: N-body simulations predict dark matter distributions with cusps (high density at small radii). However, observations suggest flatter DM density profiles (cores). Unsolved, but solutions include: feedback from AGNs - time varying potential transfers energy to CDM. Warm, fuzzy, and self-interacting DM can also produce cores.
Briefly explain the following problems. Are they still problems? How resolved? Cosmological constant problem	A: Predicted cosmological constant from QFT is (vacuum energy) 120 orders of magnitude larger than that observed. Unresolved. Renormalization lets you pick any vacuum energy you want - just another constant. Anthropic principle can be applied. Some recent work has argued you can let the vacuum energy gravitate which predicts small H rather than infinite.
Briefly explain the following problems. Are they still problems? How resolved? Final parsec problem	A: Dynamical friction brings SMBHs together during collision. No matter remaining (ejected) at final parsec, and GWs don't help until 0.01 pc. But observed evidence. Unsolved, solutions are: other matter comes or third BH.
Briefly explain the following problems. Are they still problems? How resolved? Flatness problem	A: The density in the universe is almost exactly equal to the critical density, implying a flat universe. For this to be the case, any discrepancy would have to be of order 10^-60 in the early universe. If the initial curvature could take any value, why is it identically 0? You can measure it by looking at the angular fluctuations in the CMB and comparing it to flat/open models. Still a problem, but inflation solves both it and the horizon problem: let a~e^lambda t in the early universe due to some constant density inflaton field, which brings flatness back to 0.
Briefly explain the following problems. Are they still problems? How resolved? GRB distance controversy	A: GRBs are very high energy and short burts. Since an extragalactic origin would require them to be extremely energetic in a small emission region, it was thought unlikely. However: isotropic distribution from BATSE, and recently the GW and optical counterparts for a GRB have entirely ruled out MW sources.
Briefly explain the following problems. Are they still problems? How resolved? Horizon problem	A: CMB is homogeneous yet only patches within 2 -degrees could have been in causal contact. Solved by inflation.
Briefly explain the following problems. Are they still problems? How resolved? Hubble tension	A: CMB predicts statistically significant higher H0 than galaxy. Galaxy value done with distance ladder (Cepheids, tRGB - these estimate it in the middle). Can also use Large Scale Structure. Unsolved. Solutions include calibration of SN might not be getting metallicity right.
Briefly explain the following problems. Are they still problems? How resolved? Lithium problem	A: Discrepancy between the observed abundance of lithium produced in BBN and the amount that should theoretically exist. Most accepted models of the Big Bang have three times as much primordial lithium (lithium-7) should exist. Despite correct predictions for H/He. Unsolved. Potential solutions look at different BBN reaction flow: faster destruction of Li7. 
Briefly explain the following problems. Are they still problems? How resolved? Meter barrier	A: In a protoplanetary disk with gas, small dust particles are coupled to the gas pressure, while large planetesimals (km size) ignore the gas. But particles with ~ 1m size experience strong gas drag and should spiral into the star with very short timescales, so how do we build up planets? Possible solution – streaming instability (Youdin & Goodman 2005), where dust particles form a stream (think birds flying in formation) that builds up mass and eventually coalesce quickly, bypassing the meter barrier.
Briefly explain the following problems. Are they still problems? How resolved? Missing satellites problem	A: The number of dwarf galaxies (satellites) observed is orders of magnitude lower than expected from simulation (11 vs 500 for MW) - even though normal galaxies match. Unsolved. Solutions: ultra-faint dwarfs so unobserved - tidally stripped. Adding baryons can decrease magnitude of galaxies. 
Briefly explain the following problems. Are they still problems? How resolved? Olbers’ paradox	A: Like an infinite forest, a static/isotropic universe should have a star in any line of sight and be bright. Solved by expanding universe and redshift, which shifts dominant light out of the visible band. Light ends in CMB.
Briefly explain the following problems. Are they still problems? How resolved? Solar abundance problem	A: The latest data for standard solar composition fed into the stellar interior models leads to conflicts with measurements from helioseismology. This is an unsolved problem. Future solutions include non standard interior models, accreted metal-poor material, gravitational settling, better radiative opacities.
Briefly explain the following problems. Are they still problems? How resolved? Solar neutrino problem	A: 1/3 as many neutrinos coming from the sun as predicted. The answer: neutrino oscillations
Briefly explain the following problems. Are they still problems? How resolved? Winding problem for spiral galaxies	A: Galaxies are observed to have differential rotation, meaning that physical spiral structures would wind up over time and become impossible to differentiate from the rest. This is a solved problem via density wave theory. The solution is that the spirals are not physical but overdensities: quasistatic spiral structures, which do rotate as rigid bodies. The gravitational attraction of stars passing through the spiral region pull on other stars in such a way that the structures are maintained. The spiral density waves can help form shocks and is important for star formation. 
Energy of a relativistic gas?	A: 3 k Te
Estimate, or recall from memory, 1 AU in meters	A: 1.5e11 m
Estimate, or recall from memory, planck's constant	A: 1 eV at 1.2 um light. So h = 1eV/(1.2um/c)
Estimate, or recall from memory, the Gravitational constant in easy units	A: 40 AU^3/(Msun year^2)
Estimate, or recall from memory, the H alpha line, Lyman alpha line in nm and eV.	A: Halpha (3-2) = 658 nm, 1.9 eV; Ly alpha (2-1) = 122 nm, 10 eV.
Estimate, or recall from memory, the Mean density of the Sun, a white dwarf, a neutron star	A: 1.408 g/cm^3, 1e6 g/cm^3, 3e14 g/cm^3
Estimate, or recall from memory, the R_earth/R_sun, R_earth/R_jup	A: 0.91%, 9.1%
Estimate, or recall from memory, the Radius and mass of the Earth	A: 6371 km, 5.97e24 kg
Estimate, or recall from memory, the Schwarzschild radius of a solar-mass black hole	A: 3 km
Estimate, or recall from memory, the age of the Pleaides, Omega Centauri	A: 75-150 Myr (Open cluster), 11.52 Gyr (Globular)
Estimate, or recall from memory, the age of the sun	A: 4.6 Gyr
Estimate, or recall from memory, the age of the universe	A: 13.8 Gyr
Estimate, or recall from memory, the angular size of the sun	A: ~half a degree
Estimate, or recall from memory, the apparent and absolute magnitude of the sun	A:  -27 or 4.8 absolute
Estimate, or recall from memory, the conversion between rad and "	A: 1" = 4.8 urad; 1 mrad = 3.4'
Estimate, or recall from memory, the conversion from erg to eV	A: 6.2e11 eV
Estimate, or recall from memory, the conversion from km/s to pc/Myr	A: About 1
Estimate, or recall from memory, the current critical density, the baryonic density, and dark matter density.	A: 8.5e-30 g/cm^3. Baryonic: 4e-31 g/cm^3. DM: 3e-30 g/cm^3. 
Estimate, or recall from memory, the density of air	A: 1.2e-3 g/cm^3
Estimate, or recall from memory, the distance to Alpha Centauri	A: 1.30 pc
Estimate, or recall from memory, the distance to and mass of Sgr A?	A: 8.2 kpc, 4e6 Msun
Estimate, or recall from memory, the distance to the heliopause	A: 120 AU (spherical side of heliosphere where shock between winds meet interstellar medium)
Estimate, or recall from memory, the effective temperature of the Sun	A: 5780 K
Estimate, or recall from memory, the energy (eV) and wavelength (nm) of a visible photon	A: 1.7-3.1 eV, 700-400 nm
Estimate, or recall from memory, the energy density on the surface of the sun	A: 6.5e10 erg/cm^2/(5800 K)^4
Estimate, or recall from memory, the fine structure constant	A: \sim 1/137 (strength of elementary particles). Equal to e^2/(4 pi eps_0) / (hbar c)
Estimate, or recall from memory, the frequency of the hydrogen hyperfine transition	A: 1420 MHz (21-cm)
Estimate, or recall from memory, the lifetime of a free neutron	A: 15 minutes
Estimate, or recall from memory, the light-travel time to the Moon	A: 1.28 sec (384000 km)
Estimate, or recall from memory, the limiting apparent magnitude of naked-eye stars	A: 6 (clear sky)
Estimate, or recall from memory, the limiting magnitude of a telescope at: 10cm diameter, 50cm diameter	A: 10cm: 13.3; 50cm: 16.4
Estimate, or recall from memory, the luminosity of an object with absolute mag=0. How many mags is 1 kpc?	A: About 70 Ls. 1000pc => 10^3, so 3*5=15 magnitude.
Estimate, or recall from memory, the m_e c^2 (in eV)	A: 9.11e-31 kg or 0.51 MeV
Estimate, or recall from memory, the mass fractions of the sun: X, Y, Z	A: 0.74, 0.25, 0.01 at the surface
Estimate, or recall from memory, the minimum mass of a hydrogen-fusing star	A: 0.08 Msun
Estimate, or recall from memory, the number of light years per parsec (important for public talks)	A: 3.26 ly = 1 pc
Estimate, or recall from memory, the number of seconds in one year	A: 10^7.5 seconds
Estimate, or recall from memory, the orbital distance of Pluto	A: 30-49 AU
Estimate, or recall from memory, the orbital period of Mercury	A: 88 days - Semi-major axis is 0.387 AU (e=0.2)
Estimate, or recall from memory, the orbital period of a low-Earth orbit	A: 127 minutes
Estimate, or recall from memory, the orbital speed of Earth around the Sun	A: 30 km/s
Estimate, or recall from memory, the orbital speed of the Sun around the Galaxy	A: 230 km/s
Estimate, or recall from memory, the radius of a neutron star	A: 10-15 km
Estimate, or recall from memory, the redshifts and times of the epochs of nucleosynthesis, recombination	A: Fusion of hydrogen nuclei was ~10s to 20min after the big bang, which was about redshift 10^9. (T_0 = 2.73K - scale by 1/a). Recombination at 370,000 years (z~1100). 
Estimate, or recall from memory, the resolution of the human eye	A: 17 arcseconds
Estimate, or recall from memory, the rotation measure and dispersion measure per kpc in the MW's ISM	A: ~8x10^{-2} radians/cm^2 (given n_e = 1cm^{-3}, B = 1 microgauss, L = 1 kpc). 
Estimate, or recall from memory, the rotation period of the Sun	A: 24.5 days
Estimate, or recall from memory, the size of a proton	A: mean square charge radius is about 0.85 fm. Mass 1.67e-27 kg.
Estimate, or recall from memory, the size of geosynchronous orbit (in km or Earth radii)	A: 36,000 km above equator
Estimate, or recall from memory, the size of the world’s biggest optical telescope	A: Keck I/II - 10 m. (Gran Telescopio Canarias ~ 10.4 m)
Estimate, or recall from memory, the size of the world’s biggest radio telescope	A: FAST (500 m~300m illuminated), Arecibo (305 m~221m illuminated)
Estimate, or recall from memory, the stellar density around the sun	A: About 0.14 / pc^3
Estimate, or recall from memory, the strength of Earth’s magnetic field	A: 25-65 uT (0.25 G)
Estimate, or recall from memory, the temperature and density at the center of the Sun	A: 1.6e7 K, 150 g/cm^3
Estimate, or recall from memory, the thermal energy per particle of air at room temperature (in eV)	A: 63 meV (O2)
Estimate, or recall from memory, the thompson cross section	A: 6.7e-25 cm^2
Estimate, or recall from memory, the total energy released in a core- collapse supernova	A: 3e53 erg (1 erg = 1e-7 J)
Estimate, or recall from memory, the total mass and stellar mass of the Milky Way	A: Total is 1.5e12 Ms; 5% of that is baryonic. 10% of baryonic is gas.
Estimate, or recall from memory, the typical mass contributions from DM, stars, gas	A: 5% baryonic, and 10% of the baryonic is in gas, for a MW-like galaxy. 
Estimate, or recall from memory, the typical range in galaxy masses, luminosities?	A: Spirals: 1e-2 to 1.5x, Ellipticals: 1e-2 to 5x the mass of the MW (1.5e12 Ms). Typically 1e10 Ls galaxies dominate light output, but there are more faint: 0.1-10x this is normal.  
Estimate, or recall from memory, the typical range in stellar masses, temperatures, luminosity on the MS	A: 0.1 to 40 x the mass, 0.5 to 8 x the temperature, 1e-3 to 5e5 the luminosity
Estimate, or recall from memory, the typical seeing (in arcsec) at a good mountaintop observatory	A: 1/2 arcsecond
Estimate, or recall from memory, the typical strength of large-scale Galactic magnetic field	A: 1nT (10 uG)
Estimate, or recall from memory, the typical value of binding energy per nucleon	A: 8 MeV
Estimate, or recall from memory, the typical value of optical extinction per kpc in the Galactic plane	A: 1.8 mag/kpc
Estimate, or recall from memory, the value of k_B in ueV/K	A:  8.6e-5 eV/K
Estimate, or recall from memory, the vertical scale height of the Milky Way disk	A: 300-400 pc (2.5-4.5 kpc scale length)
Estimate, or recall from memory, Ωb	A: 0.049
Gyro frequency of an electron?	A: 2.8 MHz (B/1 G) for non relativistic. Times gamma^2 for relativistic.
How are supernova classified and what are their favoured models?	A: Hydrogen in spectra=> type II (>8Ms, iron core collapses then rebounds and explodes). Silicon=>Type Ia (matter onto WD). Helium=>Ib (massive star that lost outer layer in wind before collapse). Else Ic (lost even more outer layers before collapse). So: Ia: WD in binary vs Ib/Ic/II: massive supergiant; fusion vs gravity; remant vs remant and NS or BH.
Name the best current all-sky survey, and the brightest sources seen at 1 GHz	A: NRAO VLA Sky Survey (NVSS) at 1.4 GHz covering all sky above dec=-40 deg at 44" down to 2.3 mJy. Atmospheric dust doesn't scatter radio, so radio sky always visible. Cas A, a supernova remnant, is the brightest source: 2.7 MJy. Cyg A is another bright one: an AGN with two jets.
Name the best current all-sky survey, and the brightest sources seen at 1 um	A: 2MASS (near-infrared). 300M objects of all types. 4" resolution with full coverage. Photometric.
Name the best current all-sky survey, and the brightest sources seen at 10 μm	A: WISE All-Sky Survey, W3 band. Full sky coverage at 6.5" resolution at 12 um. Can get to 12-14 magnitude limit. Brightest sources: CW Leonis, a carbon star (asymptotic giant branch star), or Alp Ori/Betelgeuse, a red supergiant (~ -4).
Name the best current all-sky survey, and the brightest sources seen at 100 GHz	A: Planck 100. 10' (600") resolution. This was a CMB mission. Extremely high radio (microwave) regime. Also eventually ALMA.  CMB is brightest at 100 GHz. MW thermal dust emission and galaxy clusters are bright here too.
Name the best current all-sky survey, and the brightest sources seen at 100 MHz	A: GMRT 150 MHz: TGSS at 25". 90% coverage. ~1M radio sources. Cas A and Cyg A are brightest sources. 
Name the best current all-sky survey, and the brightest sources seen at 100 μm	A: AKARI 90 um at 78" full coverage for ~1/2 million sources. Far infrared. Betelgeuse is the brightest source (-3) followed by Antares (-2.7).
Name the best current all-sky survey, and the brightest sources seen at Visible	A: Many. SDSS: Mostly galaxy spectroscopy, but APOGEE does study of MW dust/evolution. Pan-STARRS for moving/variable objects. LAMOST spectroscopic of ~10m MW stars + galaxies. Gaia for astrometry + photometry. ZTF, PTF. Brightest: Venus. Extrasolar: Sirius (-1.5). Betelgeuse (0). LMC (0.13)
Name the best current all-sky survey, and the brightest sources seen at X-ray	A: ROSAT all-sky survey. 240". 
Name the best current all-sky survey, and the brightest sources seen at γ-ray	A: Swift satellite or Fermi satellite. This is above 100 keV, and from SNe, hypernovae, pulsars, blazars, e.g. Crab Nebula ~ 80 TeV
Sketch the Fundamental plane of galaxies	A: L, r, Sigma (surface brightness), sigma related in plane. This is r ~ sigma^1.2 <Ie>^-0.8, which gives a tighter relation than just Faber-jackson.  Then L~r^2 <Ie>. http://burro.case.edu/Academics/Astr222/Galaxies/Elliptical/fp.gif
Sketch the Hertzsprung-Russell diagram of a globular cluster	A: Seeing most phases of evolution for low-M stars with clear MS turn-off but no high-M stars or instability strip
Sketch the Hubble diagram	A: Tuning fork - Ellipticals on left (E0 far left), spirals top right (Sc far), Barred spirals at bottom right (SBc far). Unique features more pronounced along each way. Far right of it is called "late." Ellipticals: 1e7-1e12 Ms, Spirals: 1e9-1e12. Diameter: elliptical 0.3-100 kpc, spirals 0-100. Abs magnitude: elliptical -8 to -23, -16 to -23 for spiral.
Sketch the a(t) in the ΛCDM model	A: t^(1/2), t^(2/3), exp(t) https://jila.colorado.edu/~ajsh/courses/astr3740_19/evol/scalefactort.gif
What are Kepler's laws? 	A: 1. Orbit is an ellipse with fixed body at foci. 2. Line segment sweeps equal area in equal time. 3. P^2 \propto a^3/M. 
What are the planets are what are their order?	A: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune
What is free streaming?	A: a free streaming particle is one that propagates through a medium without scattering.
What is the IAU definition of M_bol=0 in terms of Watts? 	A: 3e28 W (1 W = 1e7 erg/s). Thus L = 3e28 W 10^(-0.4*M)
What is the Thompson Scattering Opacity as a function of X?	A: 0.2 cm^2/g (1+x)
What is the charge of an electron?	A: 5e-10 statC (statC is unitary in cgs/gauss units - uses fractional units)
What is the closest star to the Sun?	A: Proxima Centauri (triple system)
What is the notation for atomic quantum states, and the ground state of Hydrogen; Ly alpha?	A: N^(2S+1)L_J, where N is the principal quantum number, S the spin angular momentum, L=(S, P, D) the orbital angular momentum, J the total angular momentum. Ground state: 1^2 S, Ly-a=2^2 P. 
What is this acronym? (italicized) w	A: Dimensionless ratio between pressure and energy density; giving equation of state for perfect fluid. From P=rhom RT: w=P/rho=RT/c^2 (RT ~ v^2 for gas). w~0 for cold fluids. rho \propto a^(-3(1+w)). Dark energy has w=-1.
What is this acronym? AGN	A: Active Galactic Nuclei
What is this acronym? B − V	A: Difference in magnitudes in B band vs V band, measures redness
What is this acronym? BBN	A: Big Bang nucleosynthesis. Fusion of heavier nuclei than hydrogen 10s-20m after the big bang: get 1 part N_He, 3 parts N_H.
What is this acronym? CMB	A: Cosmic microwave background.
What is this acronym? CNO	A: Carbon-Nitrogen-Oxygen, a sequence of nuclear fusion processes for converting Hydrogen to Helium.
What is this acronym? EHT	A: Event horizon telescope. 
What is this acronym? FRB	A: Fast radio burst. Transient high-energy radio pulse of length ranging from a fraction of a millisecond to a few milliseconds.
What is this acronym? HSC	A: Hyper Suprime-Cam. 870 Mpix/1.5deg FOV camera for the 8.2m Subaru telescope. Survey goals are galaxy evoluation and cosmology.
What is this acronym? HST	A: Hubble space telescope
What is this acronym? IMF	A: Initial mass function. The initial distribution of masses for a population of stars at the time they enter the main sequence, a product of star formation. Salpeter: m^(-2.35).
What is this acronym? ISM	A: Interstellar medium
What is this acronym? JWST	A: James Webb Space Telescope.
What is this acronym? KBO	A: Kuiper belt object. From orbit of Neptune at ~30AU to 50 AU. 20 times wider than asteroid belt. Classical KBO has planet-like orbit.
What is this acronym? LIGO	A: Laser Interferometer Gravitational-Wave Observatory. Ground based GW detection interferometer that has detected many compact object mergers.
What is this acronym? LISA	A: Laser Interferometer Space Antenna. Laser interferometry in space to detect gravitational waves.
What is this acronym? LSR	A: local standard of rest. The mean motion of material in the neighborhood of the sun in the MW.
What is this acronym? MCMC	A: Markov Chain Monte Carlo
What is this acronym? MHD	A: Magnetohydrodynamics
What is this acronym? MRI	A: Magnetorotational instability. A fluid instability that causes an accretion disk orbiting a massive central object to become turbulent. When the angular velocity of a conducting fluid in a magnetic field decreases as the distance from the rotation center increases.
What is this acronym? NFW	A: Navarro–Frenk–White profile: models the distribution of dark matter in a galaxy. A fitted profile identified in N-body simulations. rho/(r/Rs(r/Rs+1)^2)
What is this acronym? OBAFGKM	A: Oh Boy A Fine Girl Kissed Me. Spectral type ordered by surface temperature. Early types O/B have few spectral lines due to simplicity of atomic structure at higher temperature. A0 is hottest A star. Alphabetical is by hydrogen abundance.
What is this acronym? PAH	A: Polycyclic aromatic hydrocarbons. organic compounds containing only carbon and hydrogen with aromatic rings (electrons delocalized). Ubiquitous in the universe, and can be observed by fluorescence from stellar radiation. Give a specific emission line when excited depending on the structure.
What is this acronym? PMS	A: pre-main-sequence star. PMS objects are rare because their contraction is ~1 percent of the time required for hydrogen fusion.
What is this acronym? PSF	A: point spread function. Describes the response of an imaging system to a point source.
What is this acronym? QPO	A: Quasi-periodic oscillation. Flickering in X-ray observations at a specific frequency, so appears as a peak on a power spectrum. Hz-kHz in frequency. Seen in accretion disks around compact objects so can be used for mass determination. Also NS surface.
What is this acronym? SDSS	A: Sloan Digital Sky Survey
What is this acronym? SMBH	A: Supermassive black hole
What is this acronym? SNR	A: Signal-to-noise ratio
What is this acronym? SPH	A: Smoothed-particle hydrodynamics (=meshfree). Numerical methods for continuum media. Allow the coordinates to move with the fluid and the resolution be variable.
What is this acronym? UHECR	A: Ultra-high-energy cosmic ray. Cosmic ray with greater than 1e18 eV energy. Rare. Thought to be caused by makeshift particle accelerators via AGN/shocks. 
What is this acronym? WIMP	A: Weakly-interacting massive particle. One model proposed for dark matter particles. 
What is this acronym? WMAP	A: Wilkinson Microwave Anisotropy Probe. 20-90GHz precision measurement of the CMB's temperature fluctuations, producing a 1% measurement of the age of the universe. 
What is this acronym? ΛCDM	A: Lambda cold dark matter, the Lambda stands for dark energy.
Why is the sky blue? Why is the sunset red?	A: The sky is blue due to Rayleigh scattering. The sunset is red for the same reason.
Write down or at least describe the following equation: Einstein field equations	A: R_{mu nu} + (\Lambda - 0.5 R) g_{mu nu}=8\pi G T_{mu nu}/c^4. Describe the shape of spacetime from the distribution of matter-energy. metric -> christoffel symbols -> Riemann curvature (4-index) tensor -> traced (2-index) ricci tensor -> traced Ricci scalar. Stress-energy tensor has T^{0 0} = rho for perfect fluid. 
Write down or at least describe the following equation: Equations of stellar structure	A: dP/dr = -Gm rho/r^2. dm/dr = 4 pi r^2 rho. dl/dr = 4pi r^2 rho eps. dT/dr depends on energy transport. Adiabatic convection in ideal gas: =(1-1/gamma) T/P dP/dr. gamma=cp/cv (=5/3 for ideal ionized). 
Write down or at least describe the following equation: Euler’s equations	A: rho Du/Dt = -grad(P) + g rho + nu laplacian(u), D rho/Dt = -rho div(u). rho density, P pressure, u flow velocity. D/Dt = del/delt + u . grad(...). In equilibrium, say Du/Dt = 0. Incompressible: div(u)=0.
Write down or at least describe the following equation: Friedmann equation	A: (H/H0)^2 = O_0R a^-4 + O_0M a^-3 + O_0k a^-2 + O_0Lambda. H=adot/a. Describes the expansion of a homogeneous and isotropic universe.
Write down or at least describe the following equation: Jeans equation	A: dn/dt = - div(n v); vector: d(n v_i)/dt = n g - sum_j d(n <v_i v_j>)/dt, where all other v_i are averaged. n is density in phase space.
Write down or at least describe the following equation: Maxwell’s equations	A: cgs: div(E) = 4\pi\rho; div(B)=0; curl(E)= - Bdot / c; curl(B)=(4\pi J + Edot)/c. Describe the EM field in flat spacetime.
Write down or at least describe the following equation: Saha equation	A: Fraction of quantum states (Boltzmann formula): n1/n2=g1/g2 exp(-\Delta E/kT). g is degeneracy. Sum over possible states on each side to get ionization: n_{i+1} n_e / n_i \propto g_{i+1}/g_i T^{3/2} exp(-(eps_{i+1} - eps_i)/(kT))
Write down or at least describe the following equation: Virial theorem	A: 2T + V = 0. Averaged kinetic is -1/2 the average potential energy in a stable bound system. Term on V can be up to 2 for relativistic systems. Commonly gives 3/5 GM/R = 3/2 kT/m_p = 1/2 v^2. 
Write down or at least describe the following equation: Wien's displacement law	A: For a blackbody at temperature T, the peak emission is at (2.9 mm/K) / T
